patient	GSM71671	GSM71672	GSM71673	GSM71674	GSM71675	GSM71676	GSM71677	GSM71678	GSM71679	GSM71680	GSM71681	GSM71682	GSM71683	GSM71684	GSM71685	GSM71686	GSM71687	GSM71688	GSM71689	GSM71690	GSM71691	GSM71692	GSM71693	GSM71694	GSM71695	GSM71696	GSM71697	GSM71698	GSM71699	GSM71700	GSM71701	GSM71702	GSM71703	GSM71704	GSM71705	GSM71706	GSM71707	GSM71708	GSM71709	GSM71710	GSM71711	GSM71712	GSM71713	GSM71714	GSM71715	GSM71716	GSM71717	GSM71718	GSM71719	GSM71720	GSM71721	GSM71722	GSM71723	GSM71724	GSM71725	GSM71726	GSM71727	GSM71728	GSM71729	GSM71730	GSM71731	GSM71732	GSM71733	GSM71734	GSM71735	GSM71736	GSM71737	GSM71738	GSM71739	GSM71740
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
216973_s_at	556.6	199.1	379.6	599.2	476.6	509.3	285.3	893.9	816.5	557.6	306.3	902.7	141.8	927.4	219.7	1040.8	978.9	133.4	88.3	89.6	223.5	287.5	29.9	330.7	173.9	2062.6	1620.8	1493.3	1361.3	1620	1732.4	1897.5	1558.4	1988.7	1526.3	1647.3	1648.8	1894.8	333.6	2119.3	1767.6	1532	1037.5	2111.7	2273.1	2466.9	2661.1	1794.2	1888.7	1451.2	1487.4	2049	1766.5	1915.1	1290.8	1186.2	1113.6	1710	2306.3	708.9	1841.4	1690.7	1698.7	1782.3	2504.2	1983.5	2231.1	1987.7	1499.1	1562.2
200644_at	1183.9	1651.4	1881.5	1050.4	1168.9	807.5	1273.2	2514.2	4887	3241.9	822	4421.9	3392.6	5243.7	2082.9	2971.8	3437.9	3528.6	1919.7	2515.5	1946.2	1721.9	2776.9	800	4216.3	8939.8	6984.5	8815.8	7906.1	7239.7	7518.6	5537.2	9728.8	8377.8	7079	8360.5	5962.9	6705.6	1272	7232.7	6294.8	8850.2	7168.3	6464.9	6266.1	6066.6	7246.3	9913.8	8551.7	9079.3	10014.2	8353.9	7005	7182.3	8502.1	5545	7031.6	4989.5	3216.1	3361.4	7248.8	7053.7	7918.2	8672	7556.7	7577.4	5947	7675.2	5513.8	7958
208308_s_at	1463.3	601.5	808.9	1340.4	1061.7	2503.1	1887.5	2875.1	3094.3	3778.1	2238.2	1977.8	3151.7	3231.9	2321	3505.7	3987.6	3397.5	1147.3	3011.7	1931.5	638.3	2597	382.6	1694.3	12878.7	15192.3	15980.9	17281.8	16372.2	9492.9	14605.7	16642.5	17270.8	15365.2	13217.7	13470.5	10354.9	3741.2	9366.5	14585.7	5659.2	9994.6	11791.5	9325.9	12987.4	13301.7	12003.3	9689.4	15423.3	11305.4	12641.4	12412.4	13064.5	5909.2	3326	5689.7	6227.2	4135.7	2948.8	12281.7	12338.9	16386.7	12101.1	9648.3	10066.2	10975	14349.2	9979.6	13018.9
217736_s_at	1862.5	1412.1	1577.6	1898.2	1287.5	2664.8	1610.5	2651.6	2310.3	2408	3131.8	2994.2	2680.3	3361.2	3190.1	2996.2	2320.7	3705	1467.5	2262	2125.5	1278.4	3086.4	1131.1	2417.2	5579.1	4462.3	3793.2	5017.1	4818.4	5579.1	5718.2	5107.7	4872.6	5458.8	4957	5375.8	4901.7	3072.8	4893.5	4744.8	3867.7	5889.7	4237	5230.2	4548.9	4898.1	4272.9	3839.5	3868	4280.2	4283.5	4367.4	5021	4314.6	3952	3387.9	2734.5	3801.6	3513.7	4238.8	4468.1	4379.9	5515.3	4864.2	5799.1	6283.2	5459.9	4169.1	4781.6
221759_at	206	51.6	118.1	27.9	30.5	138.1	58.7	520.9	469.6	404.3	176.4	445	408.5	698.6	137.7	505	592	506	213	258.8	177.8	58.9	46	29.3	58.6	1443	1346.7	788	1222.2	1260.7	679	1521.2	1384.1	1261.4	1352.5	1150.9	1180.7	1256.6	691.8	1365.3	945	1428.7	2556.3	2151.1	1370.7	1581.7	1454.4	1167	1084.5	1151.1	935.5	1584.7	1084.1	1190.3	1670.8	1390.6	1005.2	1338.7	557.6	873.6	1221.1	1365.9	1548.2	1442.4	1186.9	1306.4	1681.3	1356.3	1235.7	948.5
213399_x_at	5171.2	4011.1	3876.8	4110.3	4738.8	4109.5	4976	6074.5	7022.7	7990.8	5647.3	5842.3	6384.3	8621.7	7070.2	5661.1	7323	5816.8	6120.7	5196.8	5332.6	5241.9	3517.9	4083.3	4420.2	10694.3	11331.4	8060.4	10149.1	11387.1	7969.6	10878.1	10285.9	10941.1	10599.7	11132.4	9934.5	11763.8	8478.4	11326.1	11162.2	8686.2	7312.2	9540.8	8073	9859.5	9419.1	10239.1	8873.4	10497.9	9847.2	9347	10265.9	9674.5	6562.2	9351.3	11528	12298.7	9110.5	7586.1	9039.4	9080.3	10882.9	7666.1	8514.2	6841.3	8575.9	11144.9	8333.2	10145.9
200065_s_at	3593.1	1976.4	2680.7	2949.3	1791.9	5220.8	3735.8	5634.9	5508	7209.8	5380.5	6721.3	5741.9	5010.4	5264.4	6874	7331.6	7479.4	2647.8	5695.3	4179.1	1972.4	4957.1	1698.7	5155.2	9913.2	7734.1	8920.5	9982.7	7532.4	8103.3	8790.1	9782.1	7830.1	8239.3	8697.3	10093.1	8901.9	6878.1	9139.7	7655.7	6330.1	10337.2	9615.4	7730.8	11049.5	11929.8	11037.1	9380.1	11162.3	10102.8	10014.7	10269.3	10438.8	11961.7	6467.1	9671.2	12362.2	8078.4	8107.7	11317	12037	10819.9	9978.3	10381.8	8804.2	9847.1	9896.2	9311.7	8890.8
200972_at	2724.8	2244.1	1688.1	3233.8	4268	3211.6	2803.7	2835.2	4039.3	4386.7	3228.2	2810	2134.3	3068	2696.2	3471.4	2857.3	2613.3	3376	2901.8	2959.8	3162.6	2592	2819	3022.2	9420.6	11017.8	9217.5	8035.3	10197.7	9263.4	9297.4	10123.6	10180.8	8908.8	8942.8	8059.3	8185.7	3563.3	10093.6	10129.2	7012.7	4569.3	11253.3	8016	8972.1	8315.2	10744.6	9642	8763.4	8310.8	10160.4	9737.9	8574.9	2343.9	7096	4596.9	4902.7	3509.3	3739.4	8640.3	8558.2	10745.1	8869.8	10196.2	8644.5	10863.9	10321.3	9492.5	10796.6
201954_at	1617.4	1003.7	1762.6	2470	1519.5	2050.3	2728	3281	3551.1	7053.7	1902	2760.3	2727	6114.1	4230.6	2301.8	4028.8	2067.8	3784.9	2356.2	5754.1	1955	2384.5	1223.2	3252.9	31967.8	30256	27912.5	34232.8	29389.5	30116	29131.9	31281.6	29974.4	32526.3	36364.7	30894.1	36758.4	9088.8	29727.1	23755.5	9671.2	5718.5	21146.7	28810.4	20139.5	25203	24955	19287.6	25900.7	25298.9	25592.3	27192.7	21219.6	6656.2	14332	8933.1	7981.4	8884.4	7022.7	24676.4	25748.7	28964	30635.3	24103.9	36446.1	30028.2	36009.6	22719.3	35660.8
209123_at	1693.9	1949	1462.3	2091.6	1747.4	1309.9	1384.4	2738.5	1218.7	1097.8	823	1920.4	1155.5	2252.2	988.4	2034.6	1063.5	1287.3	1651.3	1071.9	1612.2	1450.9	1368.6	1185.6	1027.6	4485.9	5187.7	4258.5	5081.2	5201.5	4423.3	4416.1	4685.8	5255.9	4084.3	4518.5	4645.6	3499.6	946.3	4636	5562.6	3250.1	6794.2	5786.5	4804.7	5784.9	5265	4552.5	6197.7	4958.4	4072.9	4530.7	4845.3	5665	1519.9	4846.3	3080.6	7200.9	5766.1	2127.5	5118.6	4148.2	5230	3479.9	5046.8	2893.9	3902.3	5013.9	4274.8	5146
212739_s_at	865	766.7	737	960	700.5	973.7	797.3	1367.1	1802.1	1274.1	752.1	1282.4	860.8	1379.8	723	1502.4	1493.7	1123.7	488.6	994.6	1369.9	591.8	909.5	447.5	1069.7	3003.8	2852.2	2735.5	2883.1	2757.7	2181.5	2560.6	2470.6	3415.5	3238.4	3670.7	3351.5	3431.9	1114	2227	2931.8	1998.6	2721.6	2930	2843.9	2721	3720.6	2464.8	2390.8	3110.8	2682.7	3284.7	3253.8	2042.1	2644.8	2436.1	1901.8	2213.6	1353.6	1415.5	2783.3	2610.8	4196.9	2614.3	2442.7	3288.9	3267.2	3317	2523.6	3354.1
200839_s_at	3565.2	3847.5	16731.5	3850.9	3950.8	5633.3	9203.4	11995.1	10150.6	16048	5422.8	6181.1	5994.1	11616.1	5457.1	5542	5706.2	5365.5	3492.8	3816.7	3672.4	4554.8	3637.1	2479.9	3123	29844	44555.7	41821.7	42898	39007	44999.7	41634.9	37341.6	33924.2	31580.7	40825	34517.9	28352.9	32296.1	26368.3	30658.2	26617	26957.8	27266.9	25604.7	22099.4	26689.9	24158.5	16745.8	29997	26272.6	26096.6	28364.3	26616	8673.4	16410.4	21883.4	8999.7	11333.8	13804	26446.4	30611	32870.5	35474.8	22195.1	29367.1	26583.1	33850.2	25234	35609.2
200822_x_at	5543.9	4084.3	4030.5	5579.5	3911.8	7415	7801.8	5911.4	5522.4	4345.8	4284.1	5375.1	8787.9	7365.4	5918.4	5598.2	7126.4	5901.5	5355.8	6110	4400.1	3047.1	7080.1	1556.9	4591.9	11679.8	11976.3	11416.7	11143.8	10911.2	9894.2	10621	12169.2	13847.1	10615.1	10007.3	12734.9	8298.2	7184.5	9926	12623.3	10236.1	13838.7	12578.6	9653.3	12024	11496	11011.4	10199.6	13097.3	10556.7	11329.2	10828.5	11457.5	14663.8	10283.3	8412.7	7823.8	6383.6	6158.9	11571.8	11946.1	12197.9	11617.2	9226.9	9808.8	9769	13267.2	11857.7	10946.9
36994_at	3124.6	3358.7	3860.8	2370.5	2587.2	5461	5167.8	7506.3	5830.9	4921.9	5946.2	6178.4	6355.5	8153.3	4149	6454	6251.2	8078.5	2640.7	5494.6	4229.5	1604.4	5831.2	2556.9	4952.2	10877.7	11643.5	9254.3	11518.3	11641.1	9537	12557.9	12374.6	13440.9	11749.4	12494.8	11992.7	12471.1	9115.5	10224.6	11882.5	9455.9	13276.7	11072.8	9353	10280.8	10298.1	9532.4	8489.5	10931.1	8125.8	10391.3	11136.3	9688.2	8725.9	7447.2	8142.5	8189.3	6469.2	6495.9	10542.4	10174.2	12160.4	11706.9	9102.3	10252.7	10296	12060.4	8238.2	9088.3
201765_s_at	997.6	923.2	1191	782.6	1028.1	1322.2	938.2	1550.4	1674.5	1771.7	938.1	1404.7	940	1643	1175	1716.4	1902.6	1422.3	1229.7	1560.6	1571.8	992.2	1180.9	328.6	1664.6	5123.5	7534.1	4914.2	6139.3	7399.6	4424.7	6335	5776.5	6220.2	5917.6	6686	5548.4	6353.7	1565.3	4606.4	5908.9	2472.3	3490.7	6376.5	4068.1	5720.8	6057.6	4059	4854.9	6254.8	4309.8	5832.9	6127.5	5917.1	2845.9	3325.8	2044.9	2939.4	2890.9	2189.3	6896.3	4541.8	6994.7	5251.4	5537.5	4791.5	4831.2	5705.4	4594.2	5475.2
209186_at	1678.8	1418.8	1572.1	1347.7	1701.4	2496.9	2190.1	3193.3	3482.1	3192.3	2245	3054.1	3002.4	2480.6	2038.7	2619.5	2552.1	2492.3	1955.6	3403.4	1582.3	1301.8	2850	1441	1762.7	4375.2	3834.8	3292.7	4014.3	3721.8	5029.5	3998.7	4758.8	5141.9	4133.1	4707.4	6057.8	5228.6	3431.1	5558.3	5473.5	5717.6	4117.3	5030.8	4324.3	5596.1	5217.1	4073.4	4324	3666.4	4573	4371.7	4536.8	4677.3	5011.7	4221.2	4966.2	3238.3	5104.9	3432.7	4473.1	4824.7	4341.4	4445.3	5238.7	4854.4	5685	4240.2	4013.1	3244.7
201004_at	2896.4	1455.5	2197.4	2507.9	1662.8	4953.1	4543.7	3679.2	4708.3	8368.8	5409.3	3833.7	5241	4585.2	5637.9	4217.7	5348.3	3461.7	3153.4	3893.6	4581.3	1186.9	4377.4	1069	4200.9	8192.8	8800.8	7769.9	10470.4	8304.6	7375	8927.1	9293.4	10054.6	10640.9	11837.3	9602.5	10736.1	5203	8917.8	9295.7	7060.8	8041.6	8419.5	7249.2	8534.2	10545.5	8510.6	6879.2	9116.3	9254.4	8480.5	9215.6	7212.6	7206.3	12285.7	13712.6	11340.7	7808.1	9057	8569.2	7224.5	9635	10448.1	7883.7	11067.3	9220.6	11338	7856.8	9907.8
200825_s_at	1332.7	1306.8	1582.9	1366.1	1435.7	1802.1	3083.4	2007.7	1622	1941.9	1441.2	1069.2	1647.2	2756.9	2431.8	1481.5	1933.2	1808.6	1310.2	1051.8	1344.3	1123	1051	1139.5	1360.1	4801.7	3377.5	3813.8	4291.4	3809.3	3734.3	5038.2	4019.3	3682.3	3812.2	4461.1	3997.9	4240.6	2407.2	4256.1	3993.1	3420.1	1787.7	3650.3	3785.2	3315.2	3070.7	3924.3	3228	3518.4	3976.7	3242.3	3245.9	4088.1	2744.4	2999.6	4872.6	4196.9	4150.1	3211	3993.9	4396.6	3240.1	3335.7	3434.6	4068	3746.3	3365.4	2977.6	2255.1
200660_at	3598	1945.7	1505.6	3392.2	1168.5	7894.5	9857.4	7343.7	6978.4	5145.9	6283.8	3369.6	9489.4	5649.5	8274.6	3937.5	6230.6	4819.1	2447.7	5068	3670.8	1731.6	8814.2	1393.8	2646.1	17936.8	14121	12941.9	14728.8	12669.8	16894	17178.8	14956.4	14659.1	19142.2	17848.8	16566.8	17678.3	13221.4	14530.5	17664.6	8441.1	8273.4	13212.9	15634.5	14550.5	17344	13854.8	10912	12629.7	15081.4	13449.5	12706.4	14768.9	8968.2	7191.1	12594.4	8780.6	14964.9	8839.6	14590	16760.7	15948	19091.7	12639	20816.7	15610	17470.6	15220.9	13562.2
200967_at	1497.7	1189.9	2160.3	935	689.4	1466.6	1960.7	2558.2	2586.9	3175.4	3058.1	2559.1	2712.1	2960.7	2878.3	2244.8	3324.6	2592.9	1304.9	3017.8	2274.1	467.9	3173.5	243.7	2606.6	6011.2	6049.9	3892.6	5610	5413	3889	5610.6	5527.4	5775.1	6491.2	7898.7	5995.3	8666.4	4070.1	6864.3	6763.3	6188.9	2644.1	5226.5	7204.9	7735.7	8234.9	6805	7130.8	7847	5849.8	6211.7	7843	4723.7	3713.3	4048.4	5918.1	4362	6540.2	5037.9	8027.7	6355.3	7003.7	6153.7	6738.1	6303.4	6863.8	6400.9	5253.4	5614.3
200736_s_at	2257.3	1071.3	2527.9	2456.9	1314.9	2636.8	2915.8	2507.8	2286.8	5052.1	1804.9	2209.8	2834.4	4104.1	3213.3	2425.3	3367.9	2669.4	1158.3	2273.8	3683.5	1250.3	2624.3	799.9	2589.6	7304.8	9576.1	7189.4	8399.3	7158.1	6104.3	7732.8	5882.2	6359.6	8990.2	6741.9	6639.6	6994.7	10184.1	6422.1	8114.1	7801.8	10035.1	9311.8	5432.9	6318.6	7192.3	8845.4	7534.6	9828.1	6999.7	8164.9	7545	8889.1	2134.6	5745.9	6561.9	4025.2	4023.9	4109	7850.4	7967.7	8216.2	7313.7	6359.9	7688.1	6092.3	7943.8	6513.1	7403
222212_s_at	1017.2	1051.1	1102.6	877.9	965.7	1138	1140.2	1486.4	1968.5	1623.5	1170.6	2087	837.6	1674.7	896	2294.7	1582.3	1164.1	593.8	929.4	794.5	671.9	696.3	494.1	1162.5	3755.9	2874.9	4081	3589.2	3769.6	3714.6	4008.2	4180.5	3842.3	3635.7	3821.7	4296.4	3036.5	1834.9	3820	3849.5	2185.8	2817	3303.4	2387.1	3649.6	4044.6	4795.6	3664.7	3988.5	4666.3	4551.3	3642	4545.1	3168.9	1675.7	2612.9	4657.1	3067.9	1875.6	3817.9	4372.8	4112.1	4530.5	3472.8	4094.3	3484.8	3685.3	3208.6	2944.4
208002_s_at	453.4	412.1	466.4	542.8	315.7	820.4	668.3	1236.8	1340.5	552.8	784.9	936.7	1145.4	1087.4	687.4	746.3	1061.6	879.9	767.4	1038.6	1117.3	779.9	900.6	627.1	1087.1	3705.1	3261.9	2695.2	3142.4	3258.9	2684.8	3029.1	3545.4	3160.2	3238	2735.7	2512.4	2766.5	929.4	2252.1	3630	2675.8	2699.2	3474.3	2198.8	3258.4	2638.2	4283.5	3089.2	3874.2	3169.6	3306.9	3473.5	3940.1	2030.5	1887.3	2052.6	1933.3	2701.4	1343.3	4337.8	3331.1	3984.8	3600.7	2848.8	2867.5	3195.7	3757.1	2929	3954.9
201251_at	2226.1	701.4	691.9	2277.4	1365.6	5294.6	2989.6	7587.7	7106.1	3370.5	5328.9	4692.1	4958	6554.1	4998.6	5500.1	3786.4	5109	1696.7	6318.4	3673.8	161.5	4367.6	241.1	4228.2	30516.1	25407.6	27816	33156.9	24387.5	21045.3	31172.4	35072.9	30574.2	30090.6	23317	29871.9	19175.6	10143.6	20888.1	25209.4	14440.4	9721.7	23764.6	21307.8	23660.6	23326.4	26139.8	19977.9	27937.4	25519.8	26812.5	25793.3	23964.7	15176.8	12589	13720.8	8187.5	15128.1	8897.9	25169.4	26639.6	29031	27549.8	18647.7	21016	19615.7	30369.5	22935.9	27901.8
200838_at	1118.7	683	2549.6	971.5	598.3	2131	1902	4490.1	3698.3	7093.7	1898.4	4085.3	2713.7	4671	2355.5	2145.7	2943.7	2718.9	1069.9	1948.6	2193.7	880.2	2930.9	541.2	1661.3	19225.4	20961.1	25467.5	25426.4	22189.4	21147.4	22673.4	23157.4	17590.1	21904.3	17274.2	17419.5	10331.9	18170.2	13769	18741.3	15338.9	12951.1	20069.6	15909.7	17228.7	20516.3	23834.4	16549.4	26591.6	19685.7	21790	20357	23160.3	5764.4	10447.7	15481.5	5688.5	9352.4	11485.4	23280.6	21042.6	22057.1	20906.9	15595.5	15428.4	16227.1	22456.3	18689.4	24583.9
